month,layoff_events,total_laid_off,companies_affected,rolling_3m_avg
2020-03-01,121,9628,120,9628.0
2020-04-01,270,26710,267,18169.0
2020-05-01,110,25804,108,20714.0
2020-06-01,49,7627,49,20047.0
2020-07-01,27,7112,27,13514.333333333334
2020-08-01,19,1969,19,5569.333333333333
2020-09-01,15,609,15,3230.0
2020-10-01,9,450,9,1009.3333333333334
2020-11-01,11,237,11,432.0
2020-12-01,4,852,4,513.0
2021-01-01,10,6813,10,2634.0
2021-02-01,8,868,8,2844.3333333333335
2021-03-01,4,47,4,2576.0
2021-04-01,4,261,4,392.0
2021-05-01,1,,1,154.0
2021-06-01,1,2434,1,1347.5
2021-07-01,1,80,1,1257.0
2021-08-01,3,1867,3,1460.3333333333333
2021-09-01,5,161,5,702.6666666666666
2021-10-01,2,22,2,683.3333333333334
2021-11-01,2,2070,2,751.0
2021-12-01,3,1200,3,1097.3333333333333
2022-01-01,5,510,5,1260.0
2022-02-01,12,3685,12,1798.3333333333333
2022-03-01,18,5714,18,3303.0
2022-04-01,29,4128,29,4509.0
2022-05-01,79,12985,76,7609.0
2022-06-01,196,18144,191,11752.333333333334
2022-07-01,161,16238,159,15789.0
2022-08-01,158,13055,156,15812.333333333334
2022-09-01,94,5881,93,11724.666666666666
2022-10-01,109,20671,108,13202.333333333334
2022-11-01,231,53594,227,26715.333333333332
2022-12-01,138,10664,138,28309.666666666668
2023-01-01,277,89709,275,51322.333333333336
2023-02-01,182,40002,180,46791.666666666664
2023-03-01,127,37963,126,55891.333333333336
2023-04-01,98,20100,97,32688.333333333332
2023-05-01,98,15127,98,24396.666666666668
2023-06-01,117,11206,117,15477.666666666666
2023-07-01,101,10690,101,12341.0
2023-08-01,106,10178,105,10691.333333333334
2023-09-01,69,4707,69,8525.0
2023-10-01,80,8076,79,7653.666666666667
2023-11-01,73,8373,71,7052.0
2023-12-01,59,8189,58,8212.666666666666
2024-01-01,123,34137,118,16899.666666666668
2024-02-01,80,15729,79,19351.666666666668
2024-03-01,37,7403,37,19089.666666666668
2024-04-01,59,22423,57,15185.0
2024-05-01,51,11011,47,13612.333333333334
2024-06-01,46,10083,45,14505.666666666666
2024-07-01,39,9051,39,10048.333333333334
2024-08-01,50,25944,50,15026.0
2024-09-01,37,4036,37,13010.333333333334
2024-10-01,40,3782,39,11254.0
2024-11-01,43,6755,43,4857.666666666667
2024-12-01,28,2568,28,4368.333333333333
2025-01-01,32,2537,31,3953.3333333333335
2025-02-01,50,18474,50,7859.666666666667
2025-03-01,21,8834,21,9948.333333333334
2025-04-01,28,25345,27,17551.0
2025-05-01,27,10577,27,14918.666666666666
2025-06-01,16,1606,14,12509.333333333334
2025-07-01,31,16648,31,9610.333333333334
2025-08-01,26,6452,23,8235.333333333334
2025-09-01,28,4174,24,9091.333333333334
2025-10-01,24,19070,23,9898.666666666666
2025-11-01,24,8932,24,10725.333333333334
2025-12-01,20,1552,20,9851.333333333334
2026-01-01,30,24928,29,11804.0
2026-02-01,27,11019,27,12499.666666666666
2026-03-01,20,5250,20,13732.333333333334
